1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium_ID,Medium_nev,Partner_ID,Név,Vegtulaj_1_ID,Vegtulaj_1,Vegtulaj_2_ID,Vegtulaj_2,Vegtulaj_3_ID,Vegtulaj_3,Vegtulaj_4_ID,Vegtulaj_4,Vegtulaj_5_ID,Vegtulaj_5,Vegtulaj_6_ID,Vegtulaj_6,Vegtulaj_7_ID,Vegtulaj_7,Vegtulaj_8_ID,Vegtulaj_8,Vegtulaj_9_ID,Vegtulaj_9,Vegtulaj_1_ID,Vegtulaj_1,Vegtulaj_11_ID,Vegtulaj_11,Vegtulaj_12_ID,Vegtulaj_12,Vegtulaj_13_ID,Vegtulaj_13,Vegtulaj_14_ID,Vegtulaj_14,Vegtulaj_15_ID,Vegtulaj_15,Vegtulaj_16_ID,Vegtulaj_16,Vegtulaj_17_ID,Vegtulaj_17,Vegtulaj_18_ID,Vegtulaj_18,Vegtulaj_19_ID,Vegtulaj_19,Vegtulaj_2_ID,Vegtulaj_20,Vegtulaj_21_ID,Vegtulaj_21,Vegtulaj_22_ID,Vegtulaj_22,Vegtulaj_23_ID,Vegtulaj_23,Vegtulaj_24_ID,Vegtulaj_24,Vegtulaj_25_ID,Vegtulaj_25,Vegtulaj_26_ID,Vegtulaj_26,Vegtulaj_27_ID,Vegtulaj_27,Vegtulaj_28_ID,Vegtulaj_28,Vegtulaj_29_ID,Vegtulaj_29,Vegtulaj_3_ID,Vegtulaj_3,Vegtulaj_31_ID,Vegtulaj_31
30876,Erzsébetváros,199034,INN-PRESS Lapkiadó Betéti Társaság,1099,Karalyosné Dr. Kiss Beáta,1098,Karalyos József,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30888,Észak-Magyarország,93346,Észak-Magyarországi Lapkiadó Kft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30909,Europark magazin,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1427,Axel Springer Verlag AG,2058,Ferenczy Beteiligungs GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30977,Fejér megyei hírlap,199021,Fejér Megyei Hírlap Kiadó Korlátolt Felelősségű Társaság,1668,Westdeutsche Allgemeine Zeitungsverlag GesmbH und Co Zeitschriften- und Beteiligungs KG.,1637,K & K Medien und Handels GmbH. & Co. KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31009,Figyelő (lapcsoport),199022,Figyelő Kiadói Részvénytársaság,2115,V.N.U. Business Press Group International B.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31048,Forró drót,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1427,Axel Springer Verlag AG,2058,Ferenczy Beteiligungs GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31074,Futár,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31206,Hajdú apró,199019,EURO-PEGAZUS HUNGARY Kereskedelmi és Szolgáltató Kft.,2072,Kormányos István,2073,Kormányos Regina,2071,Kormányos Erika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31209,Hajdú-bihari napló,199052,NAPLÓ Lapkiadó Korlátolt Felelősségü Társaság,1968,Funk Verlag und Druckerei GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31254,Hatvani hírlap (Hatvani hírek) ,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
