Cég ID,Cégnév,Nettó árbevétel 1998 (Ezer Ft),Adózott eredmény 1998 (Ezer Ft),Üzemi eredmény 1998 (Ezer Ft),Nettó árbevétel 1999 (Ezer Ft),Adózott eredmény 1999 (Ezer Ft),Üzemi eredmény 1999 (Ezer Ft),Nettó árbevétel 2000 (Ezer Ft),Adózott eredmény 2000 (Ezer Ft),Üzemi eredmény 2000 (Ezer Ft),Nettó árbevétel 2001 (Ezer Ft),Adózott eredmény 2001 (Ezer Ft),Üzemi eredmény 2001 (Ezer Ft),Nettó árbevétel 2002 (Ezer Ft),Adózott eredmény 2002 (Ezer Ft),Üzemi eredmény 2002 (Ezer Ft),Nettó árbevétel 2003 (Ezer Ft),Adózott eredmény 2003 (Ezer Ft),Üzemi eredmény 2003 (Ezer Ft),Nettó árbevétel 2004 (Ezer Ft),Adózott eredmény 2004 (Ezer Ft),Üzemi eredmény 2004 (Ezer Ft),Nettó árbevétel 2005 (Ezer Ft),Adózott eredmény 2005 (Ezer Ft),Üzemi eredmény 2005 (Ezer Ft),Nettó árbevétel 2006 (Ezer Ft),Adózott eredmény 2006 (Ezer Ft),Üzemi eredmény 2006 (Ezer Ft),Nettó árbevétel 2007 (Ezer Ft),Adózott eredmény 2007 (Ezer Ft),Üzemi eredmény 2007 (Ezer Ft),Nettó árbevétel 2008 (Ezer Ft),Adózott eredmény 2008 (Ezer Ft),Üzemi eredmény 2008 (Ezer Ft),Nettó árbevétel 2009 (Ezer Ft),Adózott eredmény 2009 (Ezer Ft),Üzemi eredmény 2009 (Ezer Ft)
91917,SZUPERINFÓ-KELET Hirdető és Lapterjesztő Korlátolt Felelősségű Társaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96100,"Krekk-Info Reklám, Terjesztési és Szolgáltató Nonprofit Korlátolt Felelősségű Társaság",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54341,4233,-34300
199034,INN-PRESS Lapkiadó Betéti Társaság,42248,2829,,36009,0,,,,,69971,24288,27544,49661,16388,19821,57534,32150,36802,14946,12125,6397,34,2746,-1308,2300,-3553,-7842,0,184,-1867,,,,,,
91195,INSZOL Győri Vagyongazdálkodó és Szolgáltató Zrt.,580875,1574,1143,558062,85743,-44508,681178,37308,9371,,,,723811,19809,12347,679514,12632,-33064,733666,18878,-19170,854068,7405,-10371,898864,32975,24496,902005,89853,92700,930471,40882,19687,1141504,45442,17487
91206,IQ PRESS Lapkiadó Korlátolt Felelősségü Társaság,,,,174356,3067,3244,393208,4083,4611,566817,6552,8201,715787,35261,43225,735898,34944,43455,548227,89825,105319,434476,-7604,-7053,491493,12377,13496,508034,21008,24883,471276,19521,22892,883480,52609,62659
199035,IRÁNYÁR LAPOK Kiadói és Nyomdaipari Korlátolt Felelősségű Társaság,99677,3980,4795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199036,Írisz TV Rt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91208,Irodalom Lap és Könyvkiadó Kulturális Szolgáltató Korlátolt Felelőségű Társaság,61153,-418,-473,80252,-17942,-16165,148622,5343,5557,159500,31810,15390,185122,1188,1893,220917,6914,11445,209698,-6232,-6240,211327,14132,-1027,277637,30272,14606,261443,15601,-4194,235228,-11032,-27707,210621,-17729,-35956
199037,Kamarapressz Kiadó és Szolgáltató Közhasznú Társaság,288834,-3962,-5362,,,,,,,80265,11153,13856,68450,5700,8172,71243,7460,17364,24560,-76760,-75133,25218,8600,8970,24044,2059,1839,0,-1645,-1775,0,-771,-758,,,
91304,Kapos Extra Bt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
